name,N,H,W,Cin,Kh,Kw,Cout,strideH,strideW,dilationH,dilationW,padTop,padBottom,padLeft,padRight,Hout,Wout,predicted_tiles,measured_tiles,max_error_ulp,result,fp64_ulp
conv_sweep_034,1,10,10,8,1,1,16,1,2,1,1,1,1,1,1,12,6,144,,0,BIT-EXACT,209
conv_sweep_035,1,10,10,1,3,3,1,1,1,2,1,0,0,0,0,6,8,36,,0,BIT-EXACT,20
conv_sweep_036,2,10,10,3,3,3,8,2,2,1,1,1,1,1,1,5,5,182,,0,BIT-EXACT,745
conv_sweep_037,2,10,10,3,3,5,8,1,1,1,1,1,1,1,1,10,8,960,,0,BIT-EXACT,933
conv_sweep_038,2,10,10,8,1,1,16,2,2,1,1,1,1,1,1,6,6,144,,0,BIT-EXACT,244
conv_sweep_039,1,10,10,3,5,5,8,2,2,1,1,1,1,1,1,4,4,152,,0,BIT-EXACT,248
conv_sweep_040,2,8,8,3,3,5,8,1,1,1,1,0,0,0,0,6,4,288,,0,BIT-EXACT,199
conv_sweep_041,2,8,8,1,3,3,1,1,1,2,1,0,0,0,0,4,6,36,,0,BIT-EXACT,164
conv_sweep_042,2,10,10,8,3,3,16,1,2,1,1,0,0,0,0,8,4,1152,,0,BIT-EXACT,5119
conv_sweep_043,1,10,10,3,5,5,8,2,2,2,1,0,0,0,0,1,3,38,,0,BIT-EXACT,33
conv_sweep_044,1,8,8,1,3,3,1,1,2,2,1,1,1,1,1,6,4,18,,0,BIT-EXACT,2
conv_sweep_045,1,10,10,1,3,3,1,1,2,2,1,0,0,0,0,6,4,18,,0,BIT-EXACT,58
conv_sweep_046,2,8,8,3,1,1,8,2,2,2,1,0,0,0,0,4,4,16,,0,BIT-EXACT,33
conv_sweep_047,2,8,8,8,3,3,16,1,2,2,1,0,0,0,0,4,3,432,,0,BIT-EXACT,103
conv_sweep_048,2,10,10,8,3,5,16,1,1,1,1,1,1,1,1,10,8,4800,,0,BIT-EXACT,1493
